feature,importance
goals,0.40405437
goals_p90,0.34398738
shots_on_target,0.13575399
xg_total_p90,0.0535502
xg_total,0.04981518
shots,0.012108765
pass_completion_rate,0.00029481287
age,0.00017202384
xg_per_shot,0.00013940707
shots_on_target_p90,6.411248e-05
minutes_played,3.5070483e-05
shots_p90,2.4646759e-05
assists,0.0
assists_p90,0.0
key_passes_p90,0.0
progressive_passes,0.0
progressive_passes_p90,0.0
tackles_attempted,0.0
tackles_attempted_p90,0.0
aerial_duels_won,0.0
aerial_duels_won_p90,0.0
progressive_carries,0.0
progressive_carries_p90,0.0
key_passes,0.0
