feature,importance
shots_on_target,0.41394722
shots_on_target_p90,0.22572434
goals,0.17174572
xg_total,0.06347114
goals_p90,0.05482929
xg_total_p90,0.033747565
shots,0.021919105
shots_p90,0.0072630113
xg_per_shot,0.0037896193
age,0.0015697436
pass_completion_rate,0.0012877083
minutes_played,0.00070557196
assists,0.0
assists_p90,0.0
key_passes_p90,0.0
progressive_passes,0.0
progressive_passes_p90,0.0
tackles_attempted,0.0
tackles_attempted_p90,0.0
aerial_duels_won,0.0
aerial_duels_won_p90,0.0
defensive_actions_opp_half,0.0
defensive_actions_opp_half_p90,0.0
key_passes,0.0
