feature,importance
goals,0.7969275
xg_total_p90,0.12994751
shots,0.059406646
xg_total,0.009956275
shots_on_target,0.0017123468
pass_completion_rate,0.0011870939
minutes_played,0.00066263694
xg_per_shot,0.00015169317
age,4.723614e-05
shots_on_target_p90,6.0188023e-07
shots_p90,4.934465e-07
goals_p90,0.0
key_passes,0.0
assists_p90,0.0
key_passes_p90,0.0
progressive_passes,0.0
progressive_passes_p90,0.0
tackles_attempted,0.0
tackles_attempted_p90,0.0
aerial_duels_won,0.0
aerial_duels_won_p90,0.0
assists,0.0
